,dance,mode,energy,key,loudness,speech,acous,instrum,live,valence,tempo,duration_(ms),id_check,popularity,name,artist,album,id
0,0.27,1,0.954,9,-2.864,0.161,0.00557,3.21e-06,0.312,0.433,167.814,179267,6nkMHXkhmvCzxtvewoOEJT,0,Salute Your Solution,The Raconteurs,Consolers Of The Lonely,6nkMHXkhmvCzxtvewoOEJT
1,0.528,0,0.687,2,-5.954,0.0532,0.144,0.0,0.251,0.423,142.605,230227,0GCXZmk0Uf74BdgWl0GaX2,53,I’m So Sorry,Imagine Dragons,Smoke + Mirrors (Deluxe),0GCXZmk0Uf74BdgWl0GaX2
2,0.343,0,0.828,4,-6.222,0.0646,0.0626,0.00211,0.216,0.352,78.023,170080,0mZriPjLPG9PExNzKQ3NVS,53,Warriors,Imagine Dragons,Smoke + Mirrors,0mZriPjLPG9PExNzKQ3NVS
3,0.574,1,0.734,9,-5.643,0.0591,0.168,0.0,0.0794,0.252,164.112,197927,0xvSe9t4CPJ1tKvjal8Zvu,0,Black Beatles - Madsonik Remix,Rae Sremmurd,Black Beatles (Madsonik Remix),0xvSe9t4CPJ1tKvjal8Zvu
4,0.388,1,0.338,10,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,2RlgNHKcydI9sayD2Df2xp,80,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,2RlgNHKcydI9sayD2Df2xp
5,0.572,1,0.786,8,-8.469,0.0642,0.519,0.00093,0.11,0.952,188.115,174867,6cb0HzFQPN4BGADOmSzPCw,0,ABC,The Jackson 5,ABC,6cb0HzFQPN4BGADOmSzPCw
6,0.639,1,0.548,8,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333,3b0EOvScbZUc0qJx0E1L2z,0,I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,3b0EOvScbZUc0qJx0E1L2z
7,0.484,0,0.641,10,-8.44,0.3,0.117,1.05e-05,0.324,0.688,151.233,158280,1PCA097woCMSDvZPUVeRI7,0,Blue Orchid,The White Stripes,Get Behind Me Satan,1PCA097woCMSDvZPUVeRI7
8,0.833,0,0.806,10,-5.946,0.113,0.231,0.00944,0.0681,0.64,110.098,179625,59JayqW5h9kyhLEcCTwPRX,0,Hey Mamma - Radio Edit,Sunstroke Project,Hey Mamma,59JayqW5h9kyhLEcCTwPRX
9,0.502,1,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,57bgtoPSgt236HzfBOd8kj,82,Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj
10,0.573,1,0.212,2,-14.672,0.0326,0.198,0.00983,0.156,0.116,111.579,178413,6Ho4l3GybjYrURJiT8wAbq,0,"In The Cold, Cold Night",The White Stripes,Elephant,6Ho4l3GybjYrURJiT8wAbq
11,0.296,0,0.983,9,-4.171,0.429,0.0227,0.000411,0.122,0.305,151.922,197733,4rYlKl0AI9uUCnFQXSmjFF,0,"Girl, You Have No Faith In Medicine",The White Stripes,Elephant,4rYlKl0AI9uUCnFQXSmjFF
12,0.454,1,0.91,6,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,7o2CTH4ctstm8TNelqjb51,81,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,7o2CTH4ctstm8TNelqjb51
13,0.77,0,0.787,10,-4.402,0.113,0.0482,0.0,0.108,0.699,125.013,203782,6VRghJeP6I0w1KxkdWFfIh,0,Believer,Imagine Dragons,Believer,6VRghJeP6I0w1KxkdWFfIh
14,0.473,1,0.777,9,-3.698,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813,6Ep6BzIOB9tz3P4sWqiiAB,0,Radioactive,Imagine Dragons,Night Visions (Deluxe),6Ep6BzIOB9tz3P4sWqiiAB
15,0.65,1,0.548,8,-8.767,0.0357,0.0407,0.0404,0.293,0.29,103.95,201813,37ebs6hDGOWK8SDAB2kZG5,49,Friction,Imagine Dragons,Smoke + Mirrors (Deluxe),37ebs6hDGOWK8SDAB2kZG5
16,0.574,0,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,2zYzyRzz6pRmhPzyfMEC8s,83,Highway to Hell,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s
17,0.31,1,0.7,9,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,08mG3Y1vljYA6bvDt4Wqkj,84,Back In Black,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj
18,0.459,1,0.727,0,-11.777,0.0303,0.00614,0.0652,0.384,0.955,149.231,292173,6s0NHplywwr1IjnQpUpWJk,71,Bad To The Bone,George Thorogood & The Destroyers,BAD TO THE BONE,6s0NHplywwr1IjnQpUpWJk
19,0.687,1,0.513,7,-8.389,0.0793,0.0104,0.312,0.0937,0.564,128.461,212320,7N3DKWBC8pKoTf0JzyYKaj,0,The Hardest Button To Button,The White Stripes,Elephant,7N3DKWBC8pKoTf0JzyYKaj
20,0.468,1,0.939,11,-1.976,0.112,0.0139,9.25e-05,0.833,0.698,176.075,195390,6tNQw4RAj7oYogHXVzKJg8,42,Feels Like Summer,Weezer,Feels Like Summer,6tNQw4RAj7oYogHXVzKJg8
21,0.447,1,0.954,8,-8.069,0.0751,0.0235,0.403,0.298,0.331,123.453,272027,0bVtevEgtDIeRjCJbK3Lmv,77,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,0bVtevEgtDIeRjCJbK3Lmv
22,0.707,0,0.88,4,-3.211,0.0317,0.00424,0.0379,0.0534,0.565,105.003,249286,47qYqGPgMTh3l1PRKBHEfI,66,Unity,TheFatRat,Unity,47qYqGPgMTh3l1PRKBHEfI
23,0.883,1,0.817,0,-5.414,0.235,0.601,0.00449,0.11,0.595,128.078,166849,5MhsZlmKJG6X5kTHkdwC4B,73,I'm an Albatraoz,AronChupa,I'm an Albatraoz,5MhsZlmKJG6X5kTHkdwC4B
24,0.578,0,0.773,2,-3.662,0.0337,0.0015,0.0216,0.107,0.364,91.947,270533,5DwYXHM4FuBXD5wyGjFl0r,0,Closer,Lemaitre,1749,5DwYXHM4FuBXD5wyGjFl0r
25,0.732,1,0.871,1,-3.626,0.172,0.145,0.0,0.0567,0.931,158.052,160880,1ta2S3gzMhDEm4zXj1CMF6,0,"Faith - From ""Sing"" Original Motion Picture Soundtrack",Stevie Wonder,"Faith (From ""Sing"" Original Motion Picture Soundtrack)",1ta2S3gzMhDEm4zXj1CMF6
26,0.693,1,0.841,0,-6.544,0.035,0.00366,4.07e-05,0.0883,0.471,120.984,216093,4EVHI2vtAWmONB5SKgS29w,0,Off The Ground,Bit Funk,Off The Ground,4EVHI2vtAWmONB5SKgS29w
27,0.933,0,0.528,5,-6.472,0.161,0.112,0.312,0.163,0.754,109.967,214653,5vdp5UmvTsnMEMESIF2Ym7,82,Another One Bites The Dust - Remastered 2011,Queen,The Game (2011 Remaster),5vdp5UmvTsnMEMESIF2Ym7
28,0.732,0,0.396,4,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,6i0V12jOa3mr6uu4WYhUBr,81,Heathens,Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr
29,0.414,0,0.404,0,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105,354320,1AhDOtG9vPSOmsWgNW0BEY,1,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),1AhDOtG9vPSOmsWgNW0BEY
30,0.534,1,0.605,9,-4.366,0.113,0.00865,0.00826,0.0781,0.56,123.003,215267,2VAlwOewe5c40VHyqozF1V,0,"Steady, As She Goes",The Raconteurs,Broken Boy Soldiers,2VAlwOewe5c40VHyqozF1V
31,0.277,0,0.663,4,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561,237027,20I8RduZC2PWMWTDCZuuAN,79,Take Me Out,Franz Ferdinand,Franz Ferdinand,20I8RduZC2PWMWTDCZuuAN
32,0.279,0,0.849,6,-6.545,0.0826,0.00444,5.22e-05,0.0845,0.596,180.464,219400,1ySdjlU5Vc24w81xam2MHR,0,Lazaretto,Jack White,Lazaretto,1ySdjlU5Vc24w81xam2MHR
33,0.411,1,0.82,0,-5.029,0.0854,0.0189,3.02e-06,0.358,0.567,99.923,206293,61E09JBeATUugl9JaEKRIe,0,Consoler Of The Lonely,The Raconteurs,Consolers Of The Lonely,61E09JBeATUugl9JaEKRIe
34,0.754,1,0.759,9,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667,7LRMbd3LEoV5wZJvXT1Lwb,77,T.N.T.,AC/DC,High Voltage,7LRMbd3LEoV5wZJvXT1Lwb
35,0.49,1,0.951,1,-3.777,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946,269800,0lfrNnlVksTGfX6PHnuL0T,0,Fuel,Metallica,Reload,0lfrNnlVksTGfX6PHnuL0T
36,0.338,0,0.34,9,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,5CQ30WqJwcep0pYcV4AMNc,79,Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),5CQ30WqJwcep0pYcV4AMNc
37,0.793,1,0.481,2,-14.246,0.0278,0.231,0.00122,0.06,0.97,107.744,208307,2T43UrvAg60ubJVo5KQ3t7,64,Come And Get Your Love,Redbone,The Best Of Redbone,2T43UrvAg60ubJVo5KQ3t7
38,0.305,1,0.849,9,-4.892,0.0999,0.548,0.000134,0.0995,0.555,134.287,205347,75GQIYnRaBg7ndHxhfYuQy,63,Go All The Way,Raspberries,Raspberries,75GQIYnRaBg7ndHxhfYuQy
39,0.547,1,0.82,8,-6.728,0.0805,0.261,0.0,0.3,0.933,118.208,172867,6Ac4NVYYl2U73QiTt11ZKd,74,Hooked on a Feeling,Blue Swede,Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd
40,0.524,1,0.955,0,-7.081,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,2ccUQnjjNWT0rsNnsBpsCA,68,Surrender,Cheap Trick,Heaven Tonight,2ccUQnjjNWT0rsNnsBpsCA
41,0.65,1,0.759,1,-4.932,0.0355,0.353,0.0,0.155,0.943,121.454,212840,3qrEG6rQ9Qm72MNWeUKKiU,65,Wham Bam Shang-A-Lang,Silver,Silver,3qrEG6rQ9Qm72MNWeUKKiU
42,0.636,1,0.684,3,-9.302,0.057,0.52,0.0015,0.534,0.881,132.509,166667,252YuUdUaC5OojaBU0H1CP,66,Come A Little Bit Closer,Jay & The Americans,Come A Little Bit Closer: The Best Of Jay & The Americans,252YuUdUaC5OojaBU0H1CP
43,0.716,0,0.625,1,-11.369,0.0601,0.396,1.97e-05,0.134,0.826,125.276,186827,2BY7ALEWdloFHgQZG6VMLA,73,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,2BY7ALEWdloFHgQZG6VMLA
44,0.697,0,0.813,11,-8.89,0.0315,0.0989,0.0232,0.583,0.85,95.301,180027,7kv7zBjMtVf0eIJle2VZxn,70,Southern Nights,Glen Campbell,Southern Nights,7kv7zBjMtVf0eIJle2VZxn
45,0.523,1,0.402,0,-8.233,0.0305,0.778,0.0,0.432,0.675,70.863,162533,0WVTQp3SOCuMr08jh1jweV,67,Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul,0WVTQp3SOCuMr08jh1jweV
46,0.523,1,0.762,4,-8.669,0.0346,0.0308,0.0,0.0675,0.881,128.064,205733,66gG8RzSA2sVQwME8e43wX,54,Fox On The Run,Sweet,Best Of Sweet,66gG8RzSA2sVQwME8e43wX
